meme_id,image_path,blip_caption
110137,./memes_training/110137.jpeg,there is a woman sitting on the floor with her legs crossed
110138,./memes_training/110138.jpeg,a man in a hat talking to another man in a room
110141,./memes_training/110141.png,there are two pictures of a woman and a man looking at their phones
110142,./memes_training/110142.jpeg,they are all having fun in the bathroom and having fun with each other
110143,./memes_training/110143.png,a cartoon image of a green and red dinosaur wearing a red shirt
110144,./memes_training/110144.jpeg,a tweet with a picture of a man and a woman on it
110145,./memes_training/110145.jpeg,a close up of a person in a suit with a bird on a wall
110146,./memes_training/110146.jpeg,there is a picture of a man's face in the window
110148,./memes_training/110148.jpeg,there are many different types of webpages on the internet
110149,./memes_training/110149.jpeg,a cartoon of a woman playing a video game with a man
110150,./memes_training/110150.jpeg,cartoon of a couple looking at their cell phones while standing next to each other
110151,./memes_training/110151.jpeg,a cartoon drawing of a bunch of different faces with different expressions
110152,./memes_training/110152.jpeg,a close up of a sign with a red cross and white doves
110153,./memes_training/110153.jpeg,there is a poster with a picture of a man with a beard
110154,./memes_training/110154.jpeg,arafed image of a man in a suit and tie speaking in a conference room
110155,./memes_training/110155.jpeg,a cartoon picture of a man holding a cell phone with a picture of a man screaming
110157,./memes_training/110157.jpeg,arafed man sitting on a train with his luggage
110158,./memes_training/110158.jpeg,"a cartoon picture of a bunch of people with a caption saying, sel toesta"
110159,./memes_training/110159.jpeg,a cartoon picture of a woman with a goofy face and a man with a goofy face
110160,./memes_training/110160.jpeg,arafed dog sitting on the floor with a sign in front of it
110161,./memes_training/110161.png,a close up of a person with a pair of sunglasses on
110162,./memes_training/110162.jpeg,a close up of a person hugging a person on a cell phone
110163,./memes_training/110163.jpeg,a close up of a person on a cell phone with a text message
110164,./memes_training/110164.jpeg,a close up of a text message with a picture of a person
110165,./memes_training/110165.jpeg,a close up of a person walking on a road near a wind turbine
110167,./memes_training/110167.jpeg,a cartoon of a boy and girl talking to each other
110168,./memes_training/110168.jpeg,two pictures of a man with a fake picture of himself
110169,./memes_training/110169.jpeg,arafed man and woman in a car wearing masks
110171,./memes_training/110171.jpeg,a couple of pictures of a man and a woman with a cell phone
110174,./memes_training/110174.jpeg,a couple of pictures of a man and a woman with a cell phone
110175,./memes_training/110175.jpeg,a cartoon of a man and woman talking on a cell phone
110177,./memes_training/110177.jpeg,a woman in a yellow dress holding a gun and a flag
110178,./memes_training/110178.jpeg,two pictures of a car with a man driving in it
110179,./memes_training/110179.jpeg,arafed image of a man and a woman in shorts and a man in a black shirt
110180,./memes_training/110180.png,there is a man that is looking at a alien face
110181,./memes_training/110181.png,yellow volkswagen beetles parked in a parking lot with a woman standing next to them
110182,./memes_training/110182.jpeg,there are two pictures of a man with colorful hair and a man with a beard
110184,./memes_training/110184.jpeg,arafed man with blue paint giving thumbs up in front of a white background
110186,./memes_training/110186.jpeg,a screenshot of a woman on a stage with a microphone and a microphone
110189,./memes_training/110189.png,there is a man that is looking at something in the mirror
110192,./memes_training/110192.jpeg,a poster with a bunch of different pictures of people in different poses
110193,./memes_training/110193.jpeg,a cartoon picture of a man with a pink shirt and a woman with a pink shirt
110194,./memes_training/110194.jpeg,a close up of a person with a face that has a caption on it
110196,./memes_training/110196.jpeg,"arafy, memes, and blog a man is sitting at a table with a plate"
110198,./memes_training/110198.jpeg,a close up of a lemur with a hand up in the air
110199,./memes_training/110199.jpeg,anime meme of a guy and a girl talking to each other
110200,./memes_training/110200.jpeg,a woman in a yellow dress holding a gun and a flag
110201,./memes_training/110201.jpeg,"a sponge sponge with a knife in his hand and a caption that says, a los ho"
110203,./memes_training/110203.jpeg,a man with a beard and a mustache is looking at the camera
110205,./memes_training/110205.png,a close up of a cartoon character with a caption of a person in a green shirt
110207,./memes_training/110207.jpeg,a close up of a person holding a microphone and a person wearing a suit
110209,./memes_training/110209.jpeg,a cartoon of a couple hugging each other in a comic
110210,./memes_training/110210.jpeg,there is a painting of a man and woman sitting on a bench
110211,./memes_training/110211.jpeg,a cartoon of a man and woman with a goat on their backs
110212,./memes_training/110212.jpeg,a couple of texts that are in different languages on a cell phone
110213,./memes_training/110213.jpeg,a picture of a picture of a man with a big chest
110214,./memes_training/110214.jpeg,a cartoon picture of a man with a phone in his hand
110215,./memes_training/110215.jpeg,a cartoon picture of a woman with a motorcycle and a man with a moped
110216,./memes_training/110216.jpeg,a man with glasses and a beard is looking at the camera
110218,./memes_training/110218.jpeg,anime characters with a caption of a horse and a man
110220,./memes_training/110220.jpeg,a painting of two people holding hands with a heart in the middle
110221,./memes_training/110221.jpeg,a picture of a man with a bunch of different expressions on his face
110223,./memes_training/110223.jpeg,arafed dog standing on its hind legs on a fence
110224,./memes_training/110224.jpeg,a close up of a text message with a bunch of emoticions
110226,./memes_training/110226.jpeg,arafed image of a woman in a yellow sweater and red hat
110227,./memes_training/110227.png,a cartoon picture of a man and woman shaking hands in a forest
110228,./memes_training/110228.jpeg,cartoon of a man and woman playing with a ball in spanish
110229,./memes_training/110229.jpeg,a cartoon picture of a man and woman in a dress
110231,./memes_training/110231.jpeg,a woman with a surprised look on her face in a black and white photo
110232,./memes_training/110232.jpeg,a cartoon smurfe with a hat and a dress on
110233,./memes_training/110233.jpeg,there is a man sitting at a desk writing in a book
110234,./memes_training/110234.jpeg,a picture taken from a photo of two girls with a caption in spanish
110235,./memes_training/110235.jpeg,there are many different pictures of graffiti on the wall
110236,./memes_training/110236.jpeg,a cartoon picture of a man with a black hair and a red hoodie covering his face
110237,./memes_training/110237.jpeg,cartoon of a book with a caption of a book with a caption of a book with
110241,./memes_training/110241.jpeg,a man in a white shirt is smiling and wearing a white shirt
110244,./memes_training/110244.jpeg,a close up of a cell phone with a picture of a man and woman
110249,./memes_training/110249.jpeg,a poster with different people holding guns and pointing them at each other
110250,./memes_training/110250.jpeg,"bacon on a grill with a caption that reads, las hueros sin con bacon"
110252,./memes_training/110252.jpeg,a close up of two pictures of a man in a suit and tie
110253,./memes_training/110253.jpeg,a close up of a person on a computer screen with a caption
110254,./memes_training/110254.jpeg,a cartoon picture of a bunch of signs that say different things
110255,./memes_training/110255.jpeg,a picture of a man driving a car with a caption of a man pointing at the camera
110257,./memes_training/110257.jpeg,a cartoon of a woman is sitting in a car and talking to a man
110258,./memes_training/110258.jpeg,a close up of a man with a beard and a mustache
110260,./memes_training/110260.jpeg,a close up of a person running in the woods with a bunch of people
110262,./memes_training/110262.jpeg,a close up of a poster with a man and a woman
110265,./memes_training/110265.jpeg,a cartoon of a comic strip with a woman and a man
110266,./memes_training/110266.jpeg,there are many pictures of a man with a mask on
110268,./memes_training/110268.jpeg,a poster with a picture of a man and woman in a suit
110269,./memes_training/110269.jpeg,a close up of a person with different eyes and different expressions
110270,./memes_training/110270.jpeg,a close up of two pictures of a man with a tennis racket
110271,./memes_training/110271.jpeg,a cartoon picture of a newspaper with a man in a suit and a woman in a suit
110273,./memes_training/110273.jpeg,a couple of people standing next to each other in a room
110274,./memes_training/110274.jpeg,there is a baby that is wearing a monkey costume
110275,./memes_training/110275.jpeg,a close up of a person with a shirt on and a man with a shirt on
110277,./memes_training/110277.jpeg,arafed man in a black shirt sitting in front of a microphone
110279,./memes_training/110279.jpeg,"a cartoon picture of a person wearing sandals with a caption that reads,"
110280,./memes_training/110280.jpeg,a man holding a flag walking down a street next to a car
110281,./memes_training/110281.jpeg,a picture of a man in a red jacket standing in front of a crowd
110283,./memes_training/110283.jpeg,a close up of a person wearing sunglasses and a hat
110284,./memes_training/110284.jpeg,a woman talking to a man on the street with a caption in spanish
110285,./memes_training/110285.jpeg,a picture taken from a anime with a caption of two girls and a man
110286,./memes_training/110286.jpeg,a black and white photo of a man with a beard and a mustache
110287,./memes_training/110287.jpeg,"a man with a sad look on his face and a caption that reads, canno mu"
110288,./memes_training/110288.jpeg,two pictures of a man with a white shirt and a black guy with a white shirt
110289,./memes_training/110289.jpeg,a close up of a white wall with a white electrical outlet
110290,./memes_training/110290.jpeg,a close up of a brick wall with a graffiti on it
110291,./memes_training/110291.jpeg,arafed image of a man in a blue shirt speaking in a courtroom
110296,./memes_training/110296.jpeg,there are two pictures of a man and woman with different expressions
110299,./memes_training/110299.jpeg,a screenshot of a text message from a woman who is on the phone
110301,./memes_training/110301.jpeg,a cartoon of a comic strip with a cartoon of mario and princess peach
110302,./memes_training/110302.jpeg,a close up of a cell phone with a message on it
110303,./memes_training/110303.jpeg,a cartoon picture of a woman in a bikini with a lot of hair
110304,./memes_training/110304.jpeg,a cartoon of a woman in a bikini standing next to a flow chart
110305,./memes_training/110305.jpeg,there is a picture of a woman's bra top on a bed
110306,./memes_training/110306.jpeg,a woman in a bikini holding a sign that says me llora las bragas
110308,./memes_training/110308.jpeg,a cartoon of a man pouring water into a woman's hand
110309,./memes_training/110309.jpeg,a close up of a person in a bikini and a man in a striped shirt
110310,./memes_training/110310.jpeg,a woman in a red bra top is holding her hands out
110311,./memes_training/110311.jpeg,a close up of two girls hugging each other in a room
110313,./memes_training/110313.jpeg,a close up of a sign with a picture of a clock on it
110314,./memes_training/110314.jpeg,cartoon of a woman and a girl talking to each other
110315,./memes_training/110315.jpeg,there is a man with a hat on and a necklace on
110316,./memes_training/110316.jpeg,an old woman holding a glass of wine in her hand
110317,./memes_training/110317.jpeg,"a green and black picture of a dinosaur with a caption saying, if sor que su"
110318,./memes_training/110318.jpeg,a close up of a person wearing a red panties and a pink bra
110319,./memes_training/110319.jpeg,arafed woman leaning against a counter in a store
110320,./memes_training/110320.jpeg,a close up of a person in a bikini and a man in a underwear
110321,./memes_training/110321.jpeg,there is a man wearing a hat and a sweater with a message
110322,./memes_training/110322.jpeg,there is a man with a beard and a necklace on
110323,./memes_training/110323.jpeg,there is a man with a beard and a shirt on
110324,./memes_training/110324.jpeg,man wearing a beanie hat and holding a glass of wine
110325,./memes_training/110325.jpeg,"a cartoon image of a face with a caption saying, es 2021 today hay empressas"
110326,./memes_training/110326.jpeg,cartoon of a horse and a horse with carrots in a bucket
110327,./memes_training/110327.jpeg,a cartoon turtle with a purple skirt and a purple shirt
110328,./memes_training/110328.jpeg,a woman in a blue top is sitting at a counter
110330,./memes_training/110330.jpeg,a close up of a person on a pole with a microphone
110331,./memes_training/110331.jpeg,arafed woman in tight pants standing in front of a machine
110332,./memes_training/110332.jpeg,three children in underwear playing with a soccer ball on a dirt road
110333,./memes_training/110333.jpeg,a picture of a cartoon picture of a person with a butt
110335,./memes_training/110335.jpeg,there is a baby that is sitting on a table with a caption
110336,./memes_training/110336.jpeg,"a cartoon picture of a pokemon character with a caption that reads,"
110340,./memes_training/110340.png,a cartoon picture of a woman with a hat and a man with a baseball cap
110342,./memes_training/110342.jpeg,a close up of a person with a sign in front of a building
110343,./memes_training/110343.jpeg,arafed man in a white shirt standing in front of a window
110345,./memes_training/110345.jpeg,there is a cat that is standing up and looking at the camera
110346,./memes_training/110346.png,a picture of a man in a blue shirt is talking to a woman
110348,./memes_training/110348.jpeg,a close up of a person talking on a cell phone
110350,./memes_training/110350.jpeg,a woman with a very big smile on her face
110356,./memes_training/110356.jpeg,arafed woman sitting on the floor with a cell phone in her hand
110358,./memes_training/110358.jpeg,a person holding a book with a picture of a dog and a cat on it
110359,./memes_training/110359.jpeg,woman in front of a blackboard with a triangle on it
110360,./memes_training/110360.jpeg,a picture of a woman with a white top and a red and white top
110362,./memes_training/110362.jpeg,arafed pig with big eyes and a pink nose with a caption that reads bueno
110363,./memes_training/110363.jpeg,a cartoon of two pigs in a bikini and a pig in a bikini
110365,./memes_training/110365.jpeg,a cartoon pig with a red shirt and a pink shirt
110366,./memes_training/110366.jpeg,arafed image of a woman in a bed with a cell phone
110367,./memes_training/110367.jpeg,a close up of a woman holding a cell phone near a sign
110368,./memes_training/110368.png,a woman in a bikini top is holding her arms up
110369,./memes_training/110369.jpeg,arafed image of a girl laying in bed with her eyes closed
110371,./memes_training/110371.jpeg,a cartoon of a woman talking to a man in a bar
110372,./memes_training/110372.jpeg,there is a man holding a bottle of pickles in his hand
110373,./memes_training/110373.jpeg,a woman sitting on a wall next to a skeleton and a picture of a woman holding a glass
110374,./memes_training/110374.jpeg,arafed group of people sitting on a deck with a view of the ocean
110375,./memes_training/110375.jpeg,"a woman with her hands up in the air and a caption that reads,"
110377,./memes_training/110377.jpeg,a cartoon of a woman in a store with a skeleton in the background
110378,./memes_training/110378.png,there is a poster with a picture of a little girl brushing her teeth
110379,./memes_training/110379.png,arafed image of a man reading a book and a book with a bookmark
110380,./memes_training/110380.jpeg,three little boys in shorts are dancing in the dirt
110381,./memes_training/110381.jpeg,a picture of a woman in a black dress is playing a video game
110382,./memes_training/110382.jpeg,arafed image of a man in a black shirt and a woman in a blue shirt and
110385,./memes_training/110385.jpeg,there is a woman that is dancing in a room
110386,./memes_training/110386.jpeg,two pictures of a woman in a red bikini and a woman in a red bikini
110387,./memes_training/110387.jpeg,a cartoon image of a man with a top hat and mustache
110388,./memes_training/110388.png,a cartoon picture of a man with glasses and a red shirt
110389,./memes_training/110389.jpeg,arafed cat in a tie with a caption saying el cideroacoo
110390,./memes_training/110390.jpeg,a picture of a meme with a caption of no al ciberacosso
110391,./memes_training/110391.jpeg,troll face - hora de cyberbullying queen querer?
110392,./memes_training/110392.png,cartoon of a man and woman looking at a cell phone
110393,./memes_training/110393.jpeg,a woman with purple hair and a purple top smiling
110394,./memes_training/110394.jpeg,a close up of a person with a suit and tie
110395,./memes_training/110395.jpeg,woman cooking in a kitchen with a quote from a woman
110397,./memes_training/110397.jpeg,there is a man that is sitting on the floor in front of a washing machine
110398,./memes_training/110398.jpeg,there is a woman in a kitchen with a captain shield on the counter
110399,./memes_training/110399.jpeg,arafed dog in a chef hat with a can of soda and a spoon
110400,./memes_training/110400.jpeg,a man holding a jar of red peppers in his hand
110401,./memes_training/110401.jpeg,two dogs sitting on a couch with a blanket and a blanket
110403,./memes_training/110403.jpeg,woman holding a bowl of food with a surprised face
110405,./memes_training/110405.jpeg,a couple of people standing in a kitchen with a blue pan
110407,./memes_training/110407.jpeg,there is a pot of food that is on the stove
110410,./memes_training/110410.jpeg,"there is a plastic tray with cereal, a banana and a spoon"
110411,./memes_training/110411.jpeg,someone is standing on a pair of flip flops with their feet in the sand
110412,./memes_training/110412.jpeg,a picture of two toy story characters are standing next to each other
110414,./memes_training/110414.jpeg,a cartoon picture of a woman and a man sitting at a table
110419,./memes_training/110419.jpeg,there is a man in a suit and tie with a funny face
110420,./memes_training/110420.jpeg,a woman in a turban is talking to a man in a turban
110421,./memes_training/110421.jpeg,there are two pictures of a man and a woman that are smiling
110422,./memes_training/110422.jpeg,there are four men sitting on chairs in a row together
110423,./memes_training/110423.jpeg,a picture taken from a movie showing a man in a crowd of people
110426,./memes_training/110426.jpeg,a close up of a text message with a picture of a man in a tuxedo
110428,./memes_training/110428.jpeg,a cartoon picture of a man in a suit and tie with a comic strip
110430,./memes_training/110430.jpeg,arafed cat sitting on a table with a caption of a caption
110431,./memes_training/110431.jpeg,a woman in a leopard print dress holding a microphone
110433,./memes_training/110433.jpeg,arafed woman in a gray sweatshirt and khaki pants throwing a ball
110434,./memes_training/110434.jpeg,there are two pictures of a man and a woman in a bikini
110437,./memes_training/110437.jpeg,cartoon of a man and woman with a beard and a mustache
110440,./memes_training/110440.jpeg,spanish children and adults are playing with toys in a room
110441,./memes_training/110441.jpeg,cartoon of a woman talking to a man and a woman sitting on a chair
110443,./memes_training/110443.jpeg,they are posing for a picture with a sign that says los cuidados se impprosian
110445,./memes_training/110445.jpeg,arafed man holding a can of soda in a kitchen
110446,./memes_training/110446.jpeg,there is a girl that is standing in front of a fire
110447,./memes_training/110447.jpeg,a picture of a woman with glasses and a green and yellow background
110448,./memes_training/110448.png,there is a woman and a boy sitting on the steps hugging
110450,./memes_training/110450.jpeg,there is a man and a child in a blue tub
110451,./memes_training/110451.png,a woman in a black dress standing next to another woman in a black dress
110452,./memes_training/110452.jpeg,a cartoon of a woman in a bikini and a bucket of trash
110453,./memes_training/110453.jpeg,there are two pictures of a woman pointing at a cat
110454,./memes_training/110454.jpeg,a picture of a poster with a woman and a man in it
110456,./memes_training/110456.jpeg,a close up of two posters with a globe and a bottle
110457,./memes_training/110457.jpeg,three pictures of a bottle of alcohol and a bottle of beer
110458,./memes_training/110458.jpeg,a close up of a person in a bikini on a beach
110459,./memes_training/110459.jpeg,arafed news anchor in a suit and tie sitting at a desk
110465,./memes_training/110465.jpeg,arafed man in a hat and purple shirt with a camera
110468,./memes_training/110468.jpeg,arafed man sitting at a table with a glass of wine
110469,./memes_training/110469.jpeg,there is a woman walking down the street with a large orange skirt
110473,./memes_training/110473.jpeg,there are two pictures of a person holding a rock in front of a fire
110474,./memes_training/110474.jpeg,a close up of a person holding a cell phone with a fake id
110476,./memes_training/110476.jpeg,a cartoon of a comic strip with a woman and a man
110480,./memes_training/110480.jpeg,a close up of a person in a suit and tie with a clock
110482,./memes_training/110482.jpeg,there is a woman that is sitting in a car with a caption
110484,./memes_training/110484.jpeg,arafed woman in yellow dress pushing a shopping cart in a store
110485,./memes_training/110485.jpeg,a woman in a short dress posing for a picture with her hands on her hips
110486,./memes_training/110486.jpeg,a cartoon picture of a man sitting on a bench next to a woman
110487,./memes_training/110487.jpeg,three pictures of a woman in a bikini and a man in a bikini
110488,./memes_training/110488.jpeg,a close up of a person in a pair of jeans with a fish on it
110490,./memes_training/110490.jpeg,a cartoon picture of a person with a face mask and a hand on their face
110491,./memes_training/110491.jpeg,there is a woman in a mask getting a vacciator from a man
110492,./memes_training/110492.jpeg,dragon ball z - memes - memes - dragon ball z - memes - memes
110493,./memes_training/110493.jpeg,a woman and a man are standing in a street with a text overlay
110494,./memes_training/110494.jpeg,a close up of a person sitting on a chair with a cell phone
110495,./memes_training/110495.jpeg,a close up of a person in a bikini with a guy in a suit
110496,./memes_training/110496.jpeg,there is a man standing in front of a window with a woman behind him
110498,./memes_training/110498.jpeg,a screenshot of a twitter post with a picture of a woman pointing at a man
110499,./memes_training/110499.jpeg,there is a man with headphones on talking on a cell phone
110501,./memes_training/110501.jpeg,several pictures of a man and woman with different expressions
110502,./memes_training/110502.jpeg,a close up of a person in a bikini with a knife
110505,./memes_training/110505.jpeg,a close up of a person with a mustache and a suit
110506,./memes_training/110506.jpeg,there are three people that are holding up signs in front of a man
110507,./memes_training/110507.jpeg,a black and white photo of a man with his arms crossed
110508,./memes_training/110508.jpeg,a screenshot of a man on horseback with a sword and a woman on horseback
110511,./memes_training/110511.jpeg,arafed image of a man in a tuxedo and a woman in a dress
110516,./memes_training/110516.jpeg,a couple of men are talking to each other on a twitter account
110517,./memes_training/110517.jpeg,a cartoon of a man with a mask covering his face
110518,./memes_training/110518.jpeg,a close up of a poster with a man and two women
110520,./memes_training/110520.jpeg,spanish poster with a woman holding a cell phone in front of a yellow background
110521,./memes_training/110521.jpeg,a cartoon of a woman in a white dress and a man in a red dress
110522,./memes_training/110522.jpeg,a cartoon of a man sitting at a table with a laptop
110523,./memes_training/110523.jpeg,a picture of a man and woman in a room with a flag
110524,./memes_training/110524.jpeg,a woman in a white bikini standing on a beach next to a man in a white swim suit
110525,./memes_training/110525.jpeg,a close up of a person with long hair and a red arrow
110527,./memes_training/110527.png,woman holding a sign with a message saying no viviros en una socledo
110528,./memes_training/110528.png,there is a white cat sitting on a chair with a caption in the middle
110529,./memes_training/110529.jpeg,a couple of pictures of a man and a woman in a bathroom
110534,./memes_training/110534.png,a picture of a picture of a person with a picture of a person in the middle of a
110536,./memes_training/110536.jpeg,there is a woman with a red lipstick and a white shirt
110538,./memes_training/110538.jpeg,a poster with a bunch of different faces and words
110539,./memes_training/110539.jpeg,there is a person sitting on the ground with a cup of coffee
110542,./memes_training/110542.jpeg,cartoon of a woman talking to two men and a woman
110545,./memes_training/110545.jpeg,a cartoon of a family sitting on a couch with a speech bubble above them
110546,./memes_training/110546.jpeg,cartoon of a woman talking to a man in a car
110548,./memes_training/110548.jpeg,"a cartoon picture of a group of people with a caption saying,'el sal una mu"
110549,./memes_training/110549.jpeg,cartoon of a woman and a girl watching a tv with a girl on the screen
110550,./memes_training/110550.jpeg,a woman in a dress holding a baseball bat and a ball
110551,./memes_training/110551.jpeg,there is a picture of a pug dog that is on a bed
110552,./memes_training/110552.jpeg,cartoon of a woman talking to a man with a phone
110553,./memes_training/110553.jpeg,a group of people standing in front of a crowd of people
110555,./memes_training/110555.jpeg,a black and white photo of a woman with a long braid
110557,./memes_training/110557.jpeg,a close up of a person on a television with a person on a cell phone
110558,./memes_training/110558.jpeg,a woman wearing a mask and a black shirt is on a twitter page
110560,./memes_training/110560.jpeg,a close up of two pictures of a red bird with a book
110561,./memes_training/110561.jpeg,a cartoon picture of a man with glasses and a butterfly above his head
110562,./memes_training/110562.jpeg,cartoon of a teacher and a student in front of a blackboard
110563,./memes_training/110563.jpeg,a close up of a person holding a wine glass in a room
110565,./memes_training/110565.jpeg,a cartoon image of a woman with glasses and a red hat
110566,./memes_training/110566.jpeg,"cartoon spongebob with a caption saying, me do que no tenia privegos"
110567,./memes_training/110567.jpeg,there is a man standing in front of a table of food
110568,./memes_training/110568.jpeg,a cartoon picture of a bunch of signs that say different things
110570,./memes_training/110570.jpeg,a close up of a collage of people with different expressions
110571,./memes_training/110571.jpeg,a poster with a picture of a woman and a man with glasses
110572,./memes_training/110572.jpeg,a black and white photo of two women talking to each other
110573,./memes_training/110573.jpeg,"a cartoon picture of a woman and a man with a sign that says, i am not a"
